Black Hole Candidate,Companion Star,R.A.,dec.,distance [ly],BHMass [MSun],E_BHMass [MSun],Black Hole Circumference [km],Companion Star Mass [MSun],f(M) [MSun],E_f(M) [MSun],Vsin(i) [km/s],E_Vsin(i) [km/s],inclination [deg],E_inclination [deg],Q_min,Q_max,Orbital Period [hrs],Semimajor axis [km],Companion star V magnitude,Optical Spectrum,X-Ray Emission
XTE J17464-3213,,17h46m15.61s,-32°13'59.9'',,,,					,,,,,,,,,,,,,,
XTE J1748-288,,17h48m,-28°48',,,,					,,,,,,,,,,,,,,
XTE J1755-324,,17h55m,-32°24',,,,,,,,,,,,,,,,,,
XTE J1806-246,,18h06m,-24°36',,,,					,,,,,,,,,,,,,,
XTE J1819-254,V4641 Sgr,18h19m21.58s,-25°24'25.1'',32000,7.1,0.3,130,3.1,,,,,,,,,67.6152,13000000,,B9 III,
XTE J1856+053,,18h56m39s,+05°19'44'',,,,					,,,,,,,,,,,,,,
XTE J1859+226,V404 Vul,18h58m41.5s,+22°39'30'',,9.8,2.2,180,<1.5,7.4,1.1,,,,,,,9.17,3500000,,G5,Transient
XTE J1901+014,,19h01m41s,+01°26'18'',,,,					,,,,,,,,,,,,,,
XTE J1908+094,,19h08m53.077s,+09°23'04.90'',,,,	,,,,,,,,,,,,,,
XTE J2012+381,,20h12m37.7s,+38°11'01'',,,,,,,,,,,,,,,,,,Transient
